Date Elicited,utterance,morphemes,gloss,translation,comments,,tags,CheckedWithConsultant,source/publication,a.field-with*dangerous characters (for import)
5\18\2010,Hamunaywan,Hamu-nay-wa-n,cOMe-DES-1OM-3SG,`I feel like cOMing.',,,, Ricardo, Cusco Quechua
5\18\2010,Haykunaywan,Hay-ku-nay-wa-n,enter-DES-1OM-3SG,`I feel like entering.',,,, Ricardo, Cusco Quechua
5\18\2010,Lloqsinaywan,Lloqsi-nay-wa-n,go.out-DES-1OM-3SG,`I feel like going out.',,,, Ricardo, Cusco Quechua
5\18\2010,Urmanaywan,Urma-nay-wa-n,descend-DES-1OM-3SG,`I feel like going down.',,,, Ricardo, Cusco Quechua
5\18\2010,Kusikunaywan,Kusi-ku-nay-wa-n,becOMe.happy-DES-1OM-3SG,`I feel like getting happy.',,,, Ricardo, Cusco Quechua
5\18\2010,Qonqanaywan,Qonqa-nay-wa-n,forget-DES-1OM-3SG,`I feel like forgetting.',,,, Ricardo, Cusco Quechua
5\18\2010,Rinaywan,Ri-nay-wa-n,go-DES-1OM-3SG,`I feel like going.',,,, Ricardo, Cusco Quechua
5\18\2010,Noqata anchata tusunaywan,Noqa-ta ancha-ta tusu-nay-wa-n,I-ACC alot dance-DES-1OM-3SG,`I feel like dancing a lot.',,,ambiguous, Ricardo, Cusco Quechua
5\18\2010,Noqata pisillata tusunaywan,Noqa-ta pisi-lla-ta tusu-nay-wa-n,I-ACC little dance-DES-1OM-3SG,`I feel like dancing a lot.',,,ambiguous, Ricardo, Cusco Quechua
5\18\2010,Noqata pisilla anchata tusunaywan,Noqa-ta pis-illa ancha-ta tusu-nay-wa-n,I-ACC little alot dance-DES-1OM-3SG,`I kinda feel like dancing a lot.' *`I really feel like dancing a little.',,,, Ricardo, Cusco Quechua
5\18\2010,Noqata ancha pisillata tusunaywan,Noqa-ta ancha pisilla-ta tusu-nay-wa-n,I-ACC alot little dance-DES-1OM-3SG, `I really feel like dancing a little.' *I kinda feel like dancing a lot.',,,, Ricardo, Cusco Quechua
5\18\2010,Noqata yapamanta llank'anaywan,Noqa-ta yapaman-ta llank'a-nay-wa-n,I-ACC again work-DES-1OM-3SG,`I feel like working again.',,,ambiguous, Ricardo, Cusco Quechua
5\18\2010,Noqata yapamanta Laresman purinaywan,Noqa-ta yapaman-ta Lares-man puri-nay-wa-n,I-ACC again Lares.to walk-DES-1OM-3SG,ambiguous,,,, Ricardo, Cusco Quechua
5\18\2010,Qaynap'unchaw lloqsinaywaran,Qaynap'unchaw lloqsi-nay-wa-ra-n,Yesterday go.out-DES-1OM-3SG,"`Yesterday, I felt like going out.'",,,, Ricardo, Cusco Quechua
5\18\2010,Qaynap'unchaw lloqsinaywaran khunan p'unchaw*(paq),Qaynap'unchaw lloqsi-nay-wa-ra-n khunan p'unchaw(paq),Yesterday go.out-DES-1OM-3SG now day.for,"`Yesterday, I felt like going out for today.'",,,, Ricardo, Cusco Quechua
5\18\2010,Noqata hapischawa chulle,Noqa-ta hapischawa chulle,I-ACC get a cold,`I got a cold.',,,, Ricardo, Cusco Quechua
5\18\2010,Yuyapi noqata punyunaywan.,Yuyapi noqa-ta punyu-nay-wa-n,intensionally I-ACC sleep-DES-1OM-3SG,`I feel like sleeping on purpose.',,,, Ricardo, Cusco Quechua
5\18\2010,Manan yuyaypichu noqata punyunaywan.,Manan yuyaypi-chu noqa-ta punyu-nay-wa-n,no intentionally.not I-ACC sleep-DES-1OM-3SG,`I don't feel like falling asleep on purpose.',,,, Ricardo, Cusco Quechua
5\18\2010,Manan noqata llank'anaywanchu,Manan noqa-ta llank'a-nay-wa-n-chu,no I-ACC work-DES-1OM-3SG.not,`I don't feel like working.' `I feel like not working.',,,, Ricardo, Cusco Quechua
5/21/2010,Noqata rayqawan,Noqa-ta rayqa-wa-n,I-ACC hungry.1OM,`I am hungry.’, ,,Lexical Experiencer,Lucia,Cusco Quechua
5/21/2010,Qanta rayqasunki,Qan-ta rayqa-sunki,you-ACC hungry.2OM,`You are hungry.’,,,Lexical Experiencers,Lucia,Cusco Quechua
5/21/2010,Pay rayqachikun,Pay rayqa-chi-ku-n,he hungry-CAUS-REFL-3SG,He is hungry,one option,,Lexical Experiencer,Lucia,Cusco Quechua
5/21/2010,Payta rayqan,Pay-ta rayqa-n,he-ACC hungry.3OB,He is hungry,second option,,Lexical Experiencers,Lucia,Cusco Quechua
5/21/2010,Jaunpa much'asqami kani.,Jaunpa much'a-sqa-mi ka-ni,Juan.gen kiss.pass.? be.1SG.,`I was kissed by John.’,,,Passive (Adjectival),Lucia,Cusco Quechua
5/21/2010,*Juanpa much'asqami kanaywan.,Juanpa much'a-sqa-mi ka-nay-wa-n,Juan.gen kiss.pass.? be-DES-1OM-3SG,`I feel like being kissed by Juan.’,,,Passive Impulsative,Lucia,Cusco Quechua
